state_perminute_job.job_id	state_perminute_job.minute_start	state_perminute_job.system	state_perminute_job.user_key	state_perminute_job.measure_date	state_perminute_job.queue	state_perminute_job.memory_job	state_perminute_job.vcores_job
job_1435714271812_17360	1436746320	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436746380	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436746440	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17361	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17361	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17361	1436746020	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17361	1436746080	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17361	1436746140	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17362	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17362	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17362	1436746020	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17362	1436746080	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17363	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17363	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17363	1436746020	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17363	1436746080	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17363	1436746140	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17364	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17364	1436746020	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
