initial_spark_compare.job_id	initial_spark_compare.max_capacity_memory_delayed	initial_spark_compare.user_limit_memory_delayed	initial_spark_compare.elastic_unfariness_memory_delayed	initial_spark_compare.competing_jobs_memory_delayed	initial_spark_compare.total_memory_delayed	initial_spark_compare.memory_waiting	initial_spark_compare.max_mem_capacity_robbed_mbsec	initial_spark_compare.elastic_unfairness_mem_capped_mbsec	initial_spark_compare.competing_job_mem_capped_mbsec
job_1435714271812_11261	1264027.136	0.0	0.0	0.0	1297896.4479999999	94208.0	0.0	0.0	0.0
job_1435714271812_11285	2721582.592	0.0	0.0	0.0	3307655.168	288768.0	0.0	0.0	0.0
job_1435714271812_11428	327157.248	0.0	0.0	0.0	713630.208	175104.0	0.0	0.0	175104.0
job_1435714271812_10660	4726713.856	0.0	0.0	0.0	4738901.504	2179072.0	0.0	0.0	0.0
job_1435714271812_11365	42785.28	0.0	0.0	0.0	319197.69600000005	19968.0	0.0	0.0	0.0
job_1435714271812_10751	304143.36	0.0	0.0	0.0	1230738.944	46080.0	0.0	0.0	0.0
job_1435714271812_10782	2759248.896	0.0	0.0	0.0	2770221.0560000003	1728512.0	0.0	0.0	0.0
job_1435714271812_10774	1.2869603327999996E7	0.0	0.0	0.0	1.9611536895999998E7	1.3029376E7	0.0	0.0	0.0
job_1435714271812_10517	1.5247646207999999E7	0.0	0.0	0.0	1.7939524096E7	1.2862976E7	0.0	0.0	0.0
job_1435714271812_11351	2.8842971136000004E7	0.0	0.0	0.0	7.4753843712E7	6.7703808E7	0.0	2971648.0	0.0
job_1435714271812_11417	1.8942377983999997E7	0.0	0.0	0.0	1.3886412441599998E8	1.33581312E8	0.0	0.0	0.0
job_1435714271812_11274	2004967.4239999999	0.0	0.0	0.0	2085718.0159999998	311296.0	0.0	0.0	0.0
job_1435714271812_11413	1.7234927616E7	0.0	0.0	0.0	7.5854618624E7	7.0792192E7	0.0	0.0	0.0
job_1435714271812_11488	0.0	0.0	0.0	0.0	3.0790144E7	1.91119872E8	0.0	1.4610432E7	0.0
job_1435714271812_10536	4208363.5200000005	0.0	0.0	0.0	4408333.824	2486272.0	0.0	0.0	0.0
job_1435714271812_11176	1.4804641792000001E7	0.0	260949.504	0.0	1.5069491712000003E7	4220928.0	4220928.0	0.0	0.0
job_1435714271812_11239	1710886.912	0.0	837.1200000000001	0.0	6013863.936000001	3633152.0	0.0	0.0	0.0
job_1435714271812_10645	953191.4239999999	0.0	0.0	0.0	1157043.712	90624.0	0.0	0.0	0.0
job_1435714271812_11430	1.6924676096E7	0.0	0.0	0.0	4.7553631232E7	4.2550784E7	0.0	0.0	0.0
job_1435714271812_11310	2099563.52	0.0	0.0	0.0	2366737.408	184320.0	0.0	0.0	0.0
job_1435714271812_11335	333393.92	0.0	0.0	0.0	1770009.088	245760.0	0.0	0.0	0.0
job_1435714271812_11412	1.8723569663999997E7	0.0	0.0	0.0	5.0957917696E7	4.4082176E7	0.0	0.0	0.0
job_1435714271812_11350	2.6072988672E7	0.0	0.0	0.0	2.918204672E7	2.4415232E7	0.0	2742272.0	0.0
job_1435714271812_10663	4188797.4400000004	0.0	0.0	0.0	4245853.184	2666496.0	0.0	0.0	0.0
job_1435714271812_11250	2641100.8000000003	0.0	0.0	0.0	2698180.0960000004	262144.0	0.0	0.0	0.0
job_1435714271812_11425	1.8705334272E7	0.0	0.0	0.0	1.7528644096E8	1.6538368E8	0.0	50688.0	0.0
job_1435714271812_10547	2613626.88	0.0	0.0	0.0	2625473.536	839680.0	0.0	0.0	303104.0
job_1435714271812_11455	0.0	0.0	0.0	0.0	234832.38400000002	13824.0	0.0	0.0	0.0
job_1435714271812_11353	1.4293311488E7	0.0	0.0	0.0	1.699033088E8	1.63126272E8	0.0	1.2376064E7	0.0
job_1435714271812_10521	1.1867234303999998E7	0.0	0.0	0.0	2.3503026176E7	1.4454784E7	0.0	9891840.0	0.0
job_1435714271812_10676	124682.23999999999	0.0	0.0	0.0	671493.632	36864.0	0.0	0.0	0.0
job_1435714271812_11288	1261786.112	0.0	0.0	0.0	1406097.408	196608.0	0.0	0.0	0.0
job_1435714271812_10791	8024835.071999997	0.0	0.0	0.0	8037339.647999998	2330624.0	0.0	0.0	0.0
job_1435714271812_10519	0.0	0.0	0.0	0.0	989004.7999999999	638464.0	0.0	0.0	0.0
job_1435714271812_11298	1359461.3760000002	0.0	0.0	0.0	1430089.7280000001	4096.0	0.0	0.0	0.0
job_1435714271812_10803	104649.21599999999	0.0	0.0	0.0	360915.96800000005	20480.0	0.0	0.0	0.0
job_1435714271812_11241	2024103.936	0.0	1772.5439999999999	0.0	8489341.44	6074368.0	0.0	0.0	0.0
job_1435714271812_11314	1498462.7199999997	0.0	0.0	0.0	1545591.808	36864.0	0.0	0.0	0.0
job_1435714271812_11426	1.8858954751999997E7	0.0	0.0	0.0	1.9279165030400002E8	1.87332608E8	0.0	89088.0	0.0
job_1435714271812_11376	1.8298044416E7	0.0	0.0	0.0	4.353788108800001E7	4.18944E7	0.0	1.3770752E7	0.0
job_1435714271812_10749	1283005.4400000002	0.0	0.0	0.0	1684628.4800000004	358400.0	0.0	0.0	0.0
job_1435714271812_10822	0.0	0.0	0.0	0.0	129167.87199999999	6144.0	0.0	0.0	0.0
job_1435714271812_11347	2.0533194751999997E7	0.0	1651.1999999999998	0.0	2.19330982912E8	2.0631552E8	0.0	1601536.0	0.0
job_1435714271812_10655	4150.272	0.0	0.0	0.0	102193.152	102912.0	0.0	0.0	0.0
job_1435714271812_10636	3397977.0880000014	0.0	0.0	0.0	4412986.368000001	71680.0	0.0	0.0	0.0
job_1435714271812_11371	1.9382681599999998E7	0.0	0.0	0.0	1.03847456256E8	1.00940288E8	0.0	0.0	0.0
job_1435714271812_11276	3212861.44	0.0	0.0	0.0	3740359.168	1928192.0	0.0	0.0	0.0
job_1435714271812_11493	0.0	0.0	0.0	0.0	3.052496384E7	2.29280768E8	0.0	1.4610432E7	0.0
job_1435714271812_10811	298306.55999999994	0.0	0.0	0.0	1455092.736	87040.0	0.0	0.0	0.0
job_1435714271812_11481	0.0	0.0	0.0	0.0	93620.73599999999	1536.0	0.0	0.0	0.0
job_1435714271812_11433	1.8415714303999998E7	0.0	0.0	0.0	1.07009494528E8	1.0238208E8	0.0	0.0	0.0
job_1435714271812_11354	2.5538961408E7	0.0	0.0	0.0	1.9464864256E8	1.87570688E8	0.0	1.2376064E7	0.0
job_1435714271812_10537	0.0	0.0	0.0	0.0	265101.312	35328.0	0.0	0.0	0.0
job_1435714271812_10516	5568655.360000001	0.0	0.0	0.0	5927378.944000001	2448384.0	0.0	0.0	0.0
job_1435714271812_11299	1301643.264	0.0	0.0	0.0	1528062.9759999998	299008.0	0.0	0.0	0.0
job_1435714271812_11419	2.1750362112000003E7	0.0	0.0	0.0	2.00177746944E8	1.9109888E8	0.0	901120.0	0.0
job_1435714271812_11444	2.2114455551999997E7	0.0	0.0	0.0	2.0509155737599996E8	1.9909376E8	0.0	0.0	0.0
job_1435714271812_10526	0.0	0.0	0.0	0.0	241849.856	7680.0	0.0	7680.0	0.0
job_1435714271812_11360	1.8694680576E7	0.0	0.0	0.0	2.758829921279999E8	2.7004928E8	0.0	1.196032E7	0.0
